YEAR,richness,shannon,simpson
1999,11,4.238949409183625,3.299219831680912
2000,11,4.439041964696578,3.480238460199395
2001,11,4.891528843189391,4.007693572390234
2002,11,4.816036633832973,3.637356273537945
2003,11,4.621434559817858,3.750678718722746
2004,10,4.281036197507257,3.5998916403701946
2005,9,5.378490058322389,4.509080585035214
2006,9,4.245209499549925,3.1557657498859433
2007,10,4.02630561482741,2.9167873364599766
2008,11,3.3732423401086926,2.2990800367092965
2009,10,4.163345914028931,2.987136234789208
2010,10,3.917267289487027,2.801570577860334
2011,11,3.962399340997426,2.898513763644734
2012,9,3.746700799026132,2.77882813524807
2014,10,2.1521103465944735,1.511859225391669
2016,9,2.167407469747514,1.5527821799764776
