YEAR,richness,simpson,shannon
1999,93,5.732680219245666,10.76800625101478
2000,95,5.50485621023768,10.73990545970973
2001,101,5.155479956420705,10.503191109544801
2002,100,5.767875059301023,11.981750810151121
2003,98,5.2482620464611145,10.74036944473915
2004,89,5.105532738490024,10.602590876559882
2005,93,6.155150572859485,12.372613461596751
2006,108,6.122170605107025,12.396083453147671
2007,112,5.691769237328663,11.498615777010988
2008,105,5.289196806616766,10.627639648209263
2009,121,5.995868044669156,10.928205861165871
2010,111,6.792722494356916,12.058448424450773
2011,116,7.401955465125867,13.858042721766182
2012,116,6.978311084771309,13.091862959228942
2014,115,6.544749896152697,12.49774900216833
2016,114,6.599986711666206,12.790076973206446
