YEAR,richness,simpson,shannon,trophic_group
1999,13,4.713926910714029,6.184124420804853,Seabass and Hamlets
2000,14,4.531385796709164,6.294755801103171,Seabass and Hamlets
2001,18,4.071794853341405,5.697020311602234,Seabass and Hamlets
2002,15,4.2953041990308725,5.7828394686800095,Seabass and Hamlets
2003,18,4.2254651428085674,5.981800326811344,Seabass and Hamlets
2004,15,5.606573149486678,6.968037052545267,Seabass and Hamlets
2005,16,4.341987267227356,6.148485597629751,Seabass and Hamlets
2006,16,5.107648210657637,7.341991636697517,Seabass and Hamlets
2007,18,5.1192993010055226,6.982660736588881,Seabass and Hamlets
2008,18,3.62752703855773,5.4241505252490425,Seabass and Hamlets
2009,21,3.62089597852024,5.546767758962795,Seabass and Hamlets
2010,18,3.348876690709492,5.090331961929749,Seabass and Hamlets
2011,19,3.466922702257763,5.28411573549357,Seabass and Hamlets
2012,17,3.5272798024878864,5.276418671143818,Seabass and Hamlets
2014,17,3.6113099497236774,5.235556123487084,Seabass and Hamlets
2016,18,3.532765601583276,5.206499913756826,Seabass and Hamlets
