YEAR,richness,simpson,shannon
1999,20,5.854010290342756,7.0717397772676405
2000,26,5.862406429574293,7.191133112043898
2001,28,1.89176339850092,3.054157157771955
2002,27,4.277891575517216,5.496715082678575
2003,27,4.178830984199459,5.409383885566429
2004,26,3.955263838911494,5.464034717859875
2005,31,2.5182115901122293,4.0035483876698175
2006,37,1.8587093731184348,3.0730046026053177
2007,38,2.6045880682796687,4.417158937616835
2008,30,3.9993091848801146,5.893765198986943
2009,31,2.3532611874836995,3.9350641402831252
2010,33,1.7648263097575645,2.9887109976560975
2011,36,1.9542390938818617,3.3202709508873447
2012,37,1.741109417023364,2.829085974943433
2014,33,2.145538441546967,3.4625791569981725
2016,33,2.003096133029674,3.2384769798395303
