YEAR,density_mean,density_n,density_sd,density_se,density_min,density_max,trophic_group
1999,0.7409941528680568,33,1.731914424495258,0.3014876033319959,0,8.772952498778103,Snapper
2000,1.4392548048310783,33,3.523133977618934,0.613298904441778,0,17.98549121964127,Snapper
2001,1.304985034360118,33,3.170438105380817,0.5519024337373163,0,17.274954209290538,Snapper
2002,1.0334973319470415,33,2.039882452793577,0.3550979558074653,0,9.413331776179646,Snapper
2003,0.9626491960758994,33,2.5519017571987117,0.4442290761223781,0,13.926588413957958,Snapper
2004,0.7284987999815672,33,1.5820118365108682,0.2753929121939806,0,8.400026737967915,Snapper
2005,1.05814019535782,33,2.2917964888797586,0.3989505607116869,0,11.484630278443666,Snapper
2006,0.8952700557182689,33,1.7800947873855826,0.3098747279670385,0,8.481090474918101,Snapper
2007,1.055234166375709,33,2.0338029749305027,0.3540396545516268,0,10.492796660759746,Snapper
2008,1.0210609276609461,33,2.240620557000866,0.39004197444886085,0,10.96764404872621,Snapper
2009,0.9088089532357704,33,1.620771553427094,0.2821401128602636,8.840555542320795e-4,6.412199197860963,Snapper
2010,0.7689198373055234,33,1.4945962750286155,0.2601758161570989,0,5.819961564171123,Snapper
2011,0.7526450723651088,33,1.4100031313488008,0.2454500399953932,0,5.226481725059269,Snapper
2012,0.7682390285394015,33,1.6554586194474499,0.2881783560050677,0,7.375960443701963,Snapper
2014,1.0206611580050835,27,1.8682831533776771,0.35955126050834824,0,7.691896916805733,Snapper
2016,1.0115699252674955,30,1.8181525401021756,0.33194771973309256,0,7.937223218032334,Snapper
