YEAR,richness,simpson,shannon,trophic_group
1999,8,2.567569452665444,3.017044635334472,Snapper
2000,8,2.763874701618485,3.411196291707554,Snapper
2001,9,2.9010866713770858,3.496782641290939,Snapper
2002,10,2.4807709291231923,3.251916763795149,Snapper
2003,9,2.299344863528956,2.824340368224746,Snapper
2004,9,3.227492468375964,4.1497613601349075,Snapper
2005,9,2.4185577434385035,3.053861110962359,Snapper
2006,8,2.568032891500109,3.3323965470338033,Snapper
2007,11,3.432864828068509,4.225976784696771,Snapper
2008,9,2.352653223678766,3.114667627931471,Snapper
2009,11,2.9716882887425875,3.5678001397012697,Snapper
2010,10,2.4585046660083667,2.9815992606374015,Snapper
2011,9,2.5021747281798365,3.0728725645034336,Snapper
2012,8,2.2473550854413675,2.9711488261434895,Snapper
2014,9,2.2588317669008475,3.119603924102261,Snapper
2016,10,2.6368815642033963,3.538163774219119,Snapper
