YEAR,biomass_mean,biomass_n,biomass_sd,biomass_se,biomass_min,biomass_max,trophic_group
1999,0.08432516651125059,11,0.13949676002242742,0.042059855678603715,0,0.37752914040591623,Snapper
2000,0.1476888875767658,11,0.23929957019710585,0.07215153516701031,0,0.688373938501503,Snapper
2001,0.21752535709213675,11,0.331533239369088,0.09996103277439529,0,0.9062736552204175,Snapper
2002,0.20936333359793194,11,0.2936169835218953,0.08852885149255373,0,0.8603457349080968,Snapper
2003,0.1174350832338133,11,0.1744121012391509,0.052587227155249425,0,0.420975069429261,Snapper
2004,0.19945900715954723,11,0.24262495600805442,0.07315417671410923,0,0.5641991971246929,Snapper
2005,0.13369441476592356,11,0.22300637277950083,0.06723895130615729,0,0.6469174052169547,Snapper
2006,0.12176099466435031,11,0.17942235314009378,0.05409787494257601,0,0.5120577255287815,Snapper
2007,0.20914792383944306,11,0.26156716797351365,0.07886546851309185,3.2331413544127137e-4,0.6265961309843129,Snapper
2008,0.18537210515402378,11,0.2746768316575007,0.08281818083741306,0,0.7818534765376058,Snapper
2009,0.13113029656600517,11,0.18436153003258038,0.05558709280853706,6.036343161521647e-5,0.48414741022622765,Snapper
2010,0.12330221084287378,11,0.20198464168975344,0.06090066089993537,0,0.579612907336771,Snapper
2011,0.1475527243300591,11,0.2254114428298445,0.0679641072108401,0,0.6056753994111317,Snapper
2012,0.12651467963858373,11,0.19898751826762617,0.05999699418706427,0,0.570578713250146,Snapper
2014,0.1975987992432495,9,0.28033822079375514,0.09344607359791839,5.795008052566841e-8,0.7845658828599531,Snapper
2016,0.1505439225898903,10,0.19405957140666488,0.06136702474011467,2.5199353685121423e-5,0.5795356737259849,Snapper
1999,0.001115425778284823,26,0.003775412040360938,7.404192179097528e-4,0,0.017997560310223676,Seabass and Hamlets
2000,3.63935707820081e-4,26,8.089410484890982e-4,1.5864639198431228e-4,0,0.0032637105282774213,Seabass and Hamlets
2001,0.0015605251899865758,26,0.006679647204860822,0.0013099865939038783,0,0.0342044748694073,Seabass and Hamlets
2002,8.557701409768565e-4,26,0.002292383787441604,4.4957344864647976e-4,0,0.011218329493565266,Seabass and Hamlets
2003,8.750316459868211e-4,26,0.0016510801946795883,3.238034665837614e-4,0,0.005744055171960116,Seabass and Hamlets
2004,0.0010598235158845164,26,0.002184301598325928,4.283767874398391e-4,0,0.009029924726404445,Seabass and Hamlets
2005,0.001832734456587484,26,0.005784349075574583,0.001134404184991815,0,0.02862204287004769,Seabass and Hamlets
2006,8.703185766279604e-4,26,0.0020317481437317803,3.984585935228564e-4,0,0.009355460894698762,Seabass and Hamlets
2007,0.0012849319861239525,26,0.004308664151865237,8.449985610722519e-4,0,0.022092408097401754,Seabass and Hamlets
2008,0.001103318647676964,26,0.003563385679030688,6.988374273782521e-4,0,0.01795765738687614,Seabass and Hamlets
2009,9.284742928376837e-4,26,0.0029970398809471654,5.877678783063613e-4,0,0.015208123310978523,Seabass and Hamlets
2010,7.149763265991812e-4,26,0.001864056046014171,3.6557146742526416e-4,0,0.00872454514834798,Seabass and Hamlets
2011,0.0014761966336738048,26,0.004671353196341366,9.161277347318714e-4,0,0.023483832261844088,Seabass and Hamlets
2012,7.342062859628097e-4,26,0.0019126994693322496,3.7511122760629635e-4,0,0.009211493245263129,Seabass and Hamlets
2014,0.001669332207474245,16,0.0038952020877172627,9.738005219293157e-4,9.89486236211568e-7,0.015399641376505633,Seabass and Hamlets
2016,0.001761967378503065,17,0.004448847998662041,0.001079004130047137,2.9539917988842914e-7,0.018371925460663623,Seabass and Hamlets
1999,0.05416564455090039,3,0.08762852947744401,0.05059235508249336,1.4929553017603223e-4,0.15527128667813017,Hogfish
2000,0.08155302619581144,3,0.12319898482863556,0.07112896705470137,2.5861834396766902e-5,0.22327690238459175,Hogfish
2001,0.1892559148985111,3,0.30742675438516864,0.1774929194003701,0.0025241827109560027,0.5440785737085522,Hogfish
2002,0.2118359325825864,3,0.3228098287875917,0.18637434154757307,2.0120856223716305e-4,0.5833867009486372,Hogfish
2003,0.15978455344759848,3,0.2535269992074792,0.14637388123927614,2.9018942549716403e-4,0.45212783187398364,Hogfish
2004,0.22851194728166152,3,0.36037935719874503,0.20806511888907975,2.4037046062786883e-4,0.6439654193861658,Hogfish
2005,0.14622513716720997,3,0.22867527426616366,0.1320257311545811,9.636839828778165e-4,0.4098184614710411,Hogfish
2006,0.14117640022616287,3,0.21804842951534054,0.125890319477057,3.232345879347308e-4,0.39233872082664056,Hogfish
2007,0.17037671369196689,3,0.2618215245714382,0.15116272769095807,0.001776553675126423,0.47200373694635017,Hogfish
2008,0.22649491736501587,3,0.35889267977175127,0.20720678527640676,8.028622176582916e-4,0.640341406360717,Hogfish
2009,0.14462256294426834,3,0.21993203936207276,0.12697782212911607,0.0013615615471070672,0.3978496386297474,Hogfish
