YEAR,biomass,SPECIES_CD,TL
1999,0.05687955085523198,ABU SAXA,TL3
1999,6.901457305146968e-7,ACA ASPE,TL2
1999,0.13728676018891964,ACA BAHI,TL2
1999,0,ACA CHAP,TL2
1999,0.21226094948611035,ACA CHIR,TL2
1999,0.17963494496725685,ACA COER,TL2
1999,0,ACA MARI,TL2
1999,4.030910521994473e-4,ACA POLY,TL3
1999,4.5493241945485324e-4,ACA QUAD,TL3
1999,0,ACA SPE.,TL2
1999,0,ACA SPIN,TL2
1999,0,AET NARI,TL3
1999,0,AHL EGMO,TL3
1999,1.4885640164370107e-4,ALE CILI,TL3
1999,0,ALP AFER,TL4
1999,0,ALU MONO,TL3
1999,0,ALU SCHO,TL3
1999,0.0022831074926420404,ALU SCRI,TL3
1999,0,ALU SPE.,TL3
1999,2.2691243885867112e-07,AMB PINO,TL3
1999,0,ANC LYOL,TL2
1999,0.008468763318259758,ANI SURI,TL3
1999,0.1294210065531313,ANI VIRG,TL3
1999,0,ANT OCEL,TL3
1999,0,APO AURO,TL3
1999,1.4167444692358302e-5,APO BINO,TL3
1999,0,APO MACU,TL3
1999,0,APO PHEN,TL3
1999,0,APO PSEU,TL3
1999,0,APO QUAD,TL3
1999,0,APO TOWN,TL3
1999,6.703267586690367e-4,ARC PROB,TL3
1999,7.736079033958003e-4,ARC RHOM,TL3
1999,0,AST PUNC,TL3
1999,0,AST SPE.,TL3
1999,0,AST STEL,TL3
1999,0,ATH STIP,TL2
1999,0.004811158291085708,AUL MACU,TL3
1999,0.005309049661527461,BAL CAPR,TL3
1999,0,BAL SPE.,TL3
1999,0.020517741410866864,BAL VETU,TL3
1999,0,BLE SPE.,TL2
1999,1.4929553017603223e-4,BOD PULC,TL3
1999,0.00707635144439495,BOD RUFU,TL3
1999,0.0018241791938184266,BOT LUNA,TL3
1999,0,BOT OCEL,TL3
1999,0.0057089641595612795,CAL BAJO,TL3
1999,0.06497201542195906,CAL CALA,TL3
1999,0,CAL NODO,TL3
1999,0.0032516283886272626,CAL PENN,TL3
1999,0.005827947201633398,CAL PROR,TL3
1999,4.7346842383337595e-4,CAL SPE.,TL3
1999,9.865818019716333e-5,CAN MACR,TL3
1999,6.585627138130577e-5,CAN PULL,TL3
1999,7.089813231265851e-4,CAN ROST,TL3
1999,0.017302628115384345,CAN SUFF,TL3
1999,0.07918149184308766,CAR BART,TL3
1999,0.05215145202257019,CAR CRYS,TL3
1999,0,CAR FALC,TL4
1999,0,CAR HIPP,TL3
1999,0.07037327546721804,CAR LATU,TL3
1999,0,CAR LEUC,TL4
1999,0.028639753074680353,CAR LIMB,TL4
1999,0,CAR LUGU,TL3
1999,0,CAR PERE,TL4
1999,0.29926675861590923,CAR RUBE,TL3
1999,0,CAR SPE.,TL3
1999,1.5575936418773021e-6,CEN ARGI,TL3
1999,0.020562227188032568,CEP CRUE,TL4
1999,0.002725812372507357,CEP FULV,TL4
1999,0.0012710515964812555,CHA CAPI,TL3
1999,0.02741148350976559,CHA FABE,TL3
1999,0,CHA LIMB,TL2
1999,0.026816108510903974,CHA OCEL,TL3
1999,0.004320573702602834,CHA SEDE,TL3
1999,0.005321893019427495,CHA STRI,TL3
1999,0,CHI ANTE,TL3
1999,5.008797357357151e-5,CHI SCHO,TL3
1999,0,CHR ATHE,TL2
1999,8.570223203909763e-4,CHR CYAN,TL3
1999,1.8732028186072886e-7,CHR ENCH,TL3
1999,8.391962134974973e-6,CHR INSO,TL3
1999,0.00748105222935622,CHR MULT,TL3
1999,5.125144501817941e-4,CHR SCOT,TL3
1999,0.014997729413117417,CLE PARR,TL3
